title;published_at;views;url;DATA REAL;PERIODO;tipo_conteudo;tempo_video;temporada;momento
InHouse 2 by TitaN #leagueoflegends #leagueoflegendsmemes #lol #lolmemes #paingaming #titanlol;2025-03-07 18:01:11+00:00;9151;https://www.youtube.com/watch?v=UBYgpsM8ahc;07/03/2025;FORA DO PERÍODO;shorts;01:36;FORA DO ;RÍODO
o NOVO MID DA PAIN? #shorts;2025-03-09 19:21:54+00:00;6584;https://www.youtube.com/watch?v=aP7qeKQwjqw;09/03/2025;FORA DO PERÍODO;shorts;00:16;FORA DO ;RÍODO
que saudade do meu resenhudo #shorts #leagueoflegends;2025-03-10 14:58:45+00:00;9454;https://www.youtube.com/watch?v=qtAGxUkp7HE;10/03/2025;FORA DO PERÍODO;shorts;00:21;FORA DO ;RÍODO
o FANATISMO do torcedor da paiN foi longe demais #shorts;2025-03-11 15:06:40+00:00;54240;https://www.youtube.com/watch?v=mpek8oBqF2Q;11/03/2025;FORA DO PERÍODO;shorts;00:12;FORA DO ;RÍODO
dia 1 da aposentadoria e o dyN tá assim: #leagueoflegends #shorts;2025-03-12 21:11:26+00:00;7393;https://www.youtube.com/watch?v=DYdKD0ytsX0;12/03/2025;FORA DO PERÍODO;shorts;01:05;FORA DO ;RÍODO
se vc não tem um duo, o duo é vc #leagueoflegends #shorts;2025-03-12 14:56:00+00:00;7369;https://www.youtube.com/watch?v=ZYC37QfAxFg;12/03/2025;FORA DO PERÍODO;shorts;00:07;FORA DO ;RÍODO
sabe o que é bom? esse kit da CORSAIR, se liga: ??? M75 WIRELESS / ?? K65 PRO MINI;2025-03-14 15:02:02+00:00;6480;https://www.youtube.com/watch?v=JgCGhnyljPc;14/03/2025;FORA DO PERÍODO;shorts;00:15;FORA DO ;RÍODO
e o novo reforço pro mid é..... ??????;2025-03-18 23:17:44+00:00;5026;https://www.youtube.com/watch?v=dAKudlODqF4;18/03/2025;FORA DO PERÍODO;shorts;01:25;FORA DO ;RÍODO
collab Balestrin by Cassino.bet ?? Autorização SPA/MF 322.?? JOGUE COM RESPONSABILIDADE! #academia;2025-03-18 15:08:51+00:00;7861;https://www.youtube.com/watch?v=n0SIPTk2qDs;18/03/2025;FORA DO PERÍODO;shorts;00:23;FORA DO ;RÍODO
boa minhas vidas ???????estoque do manto 2025 renovado no dia 31/03, n mosca ??;2025-03-18 13:13:09+00:00;1414;https://www.youtube.com/watch?v=xNGSxS0IgD4;18/03/2025;FORA DO PERÍODO;shorts;02:56;FORA DO ;RÍODO
essa sintonia que a gente gosta ?? #cblol #lta #paingaming #shorts;2025-03-19 00:20:16+00:00;5843;https://www.youtube.com/watch?v=cYXJr8rJomE;19/03/2025;FORA DO PERÍODO;shorts;01:00;FORA DO ;RÍODO
sim, é só o pc e tudo funciona, confia?? #leagueoflegends #leagueoflegendsmemes;2025-03-20 23:01:10+00:00;4988;https://www.youtube.com/watch?v=xytLSrrpVuw;20/03/2025;FORA DO PERÍODO;shorts;00:08;FORA DO ;RÍODO
um #TBT entre os 2 mid laners aposentados do #CBLOL #leagueoflegends;2025-03-20 15:00:26+00:00;6447;https://www.youtube.com/watch?v=K3uyD1ClqwU;20/03/2025;FORA DO PERÍODO;shorts;00:31;FORA DO ;RÍODO
RECADO IMPORTANTE DO EX ??;2025-03-21 20:53:35+00:00;4816;https://www.youtube.com/watch?v=BOxrwoNfwt8;21/03/2025;FORA DO PERÍODO;shorts;00:11;FORA DO ;RÍODO
fechadão c Cassino.bet pro duo de Balestrin ??Autorização SPA/MF 322.?? JOGUE COM RESPONSABILIDADE!;2025-03-21 15:01:42+00:00;8855;https://www.youtube.com/watch?v=FBczHTTw3qE;21/03/2025;FORA DO PERÍODO;shorts;00:25;FORA DO ;RÍODO
QUASE PENTAKILL de KAI’SA? isso é paiN TitaN;2025-03-22 21:42:16+00:00;8194;https://www.youtube.com/watch?v=oUXv2gavDm4;22/03/2025;FORA DO PERÍODO;shorts;00:38;FORA DO ;RÍODO
não tentem DIVAR o meu suporte kuri;2025-03-24 19:21:39+00:00;5504;https://www.youtube.com/watch?v=QMSWFo_vFk0;24/03/2025;FORA DO PERÍODO;shorts;00:29;FORA DO ;RÍODO
PNG ROAMER NA SOLOQ BRASILEIRA - 1 #leagueoflegends #leagueoflegendsbrasil #paingaming #gaming #lta;2025-03-25 14:35:38+00:00;7410;https://www.youtube.com/watch?v=4xjGgIU4Ciw;25/03/2025;FORA DO PERÍODO;shorts;01:30;FORA DO ;RÍODO
