title;published_at;views;url;DATA REAL;PERIODO;tipo_conteudo;tempo_video;temporada;momento
RED TO HUNT #2 - MACRO e MICRO | by Kalunga;2025-08-08 14:07:23+00:00;7211;https://www.youtube.com/watch?v=QaRlPTIkvE4;08/08/2025;3º SPLIT - Split;serie_vlog;23:58;3º SPLIT;Split
RED TO CALL | LTA 2025 Split 3 Week 3 by Logitech G;2025-08-11 21:36:27+00:00;2988;https://www.youtube.com/watch?v=MAyBNJViws0;11/08/2025;3º SPLIT - Split;na_escuta;06:52;3º SPLIT;Split
RED TO HUNT #3: TALENTO e VITÓRIA | by Kalunga;2025-08-14 20:00:39+00:00;5965;https://www.youtube.com/watch?v=u-H-sLORG4k;14/08/2025;3º SPLIT - Split;serie_vlog;27:34:00;3º SPLIT;Split
RED TO CALL | LTA 2025 Split 3 Week 4 by Logitech G;2025-08-19 16:59:31+00:00;3015;https://www.youtube.com/watch?v=FoDo4bUaiOE;19/08/2025;3º SPLIT - Split;na_escuta;13:08;3º SPLIT;Split
RED TO HUNT #4: ADAPTAÇÃO | by Kalunga;2025-08-21 16:04:16+00:00;6702;https://www.youtube.com/watch?v=BKRf1Qzp9yQ;21/08/2025;3º SPLIT - Split;serie_vlog;22:05;3º SPLIT;Split
RED TO CALL | LTA 2025 Split 3 Week 5 by Logitech G;2025-09-02 16:09:59+00:00;1626;https://www.youtube.com/watch?v=2Y3yqtp6QYo;02/09/2025;3º SPLIT - Split;na_escuta;13:48;3º SPLIT;Split
RED TO HUNT #5: PREPARAÇÃO | by Kalunga;2025-09-04 17:07:05+00:00;3015;https://www.youtube.com/watch?v=JkKq2u8Eeoc;04/09/2025;3º SPLIT - Split;serie_vlog;22:49;3º SPLIT;Split
RED TO CALL | LTA 2025 Playoffs x LOUD | by Logitech G;2025-09-09 19:45:26+00:00;1095;https://www.youtube.com/watch?v=Z7aWi8xBO30;09/09/2025;3º SPLIT - Pós;na_escuta;15:39;3º SPLIT; Pós
RED TO CALL | LTA 2025 Playoffs x PAIN | by Logitech G;2025-09-10 21:02:51+00:00;1302;https://www.youtube.com/watch?v=_akDubAActo;10/09/2025;3º SPLIT - Pós;na_escuta;11:10;3º SPLIT;Pós
RED TO HUNT #6: RETA FINAL | by Kalunga;2025-09-12 21:58:18+00:00;4620;https://www.youtube.com/watch?v=NA3sNC28AqE;12/09/2025;3º SPLIT - Pós;serie_vlog;48:29:00;3º SPLIT;Pós
